一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,干果,五香花生米,8.0,8.5,9.0,斤,2023-01-10,0
水果,干果,五香花生米,8.0,8.5,9.0,斤,2023-01-31,1
水果,干果,五香花生米,7.0,8.0,9.0,斤,2023-02-20,2
水果,干果,五香花生米,7.5,8.75,10.0,斤,2023-02-28,3
水果,干果,五香花生米,7.5,8.75,10.0,斤,2023-03-10,4
水果,干果,五香花生米,7.5,8.75,10.0,斤,2023-03-20,5
水果,干果,五香花生米,7.5,8.75,10.0,斤,2023-03-31,6
水果,干果,五香花生米,8.0,10.0,12.0,斤,2023-04-10,7
水果,干果,五香花生米,8.0,10.0,12.0,斤,2023-04-30,8
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-05-10,9
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-05-20,10
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-05-31,11
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-06-10,12
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-06-20,13
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-06-30,14
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-07-10,15
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-07-20,16
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-07-31,17
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-08-10,18
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-08-20,19
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-08-31,20
水果,干果,五香花生米,9.0,10.5,12.0,斤,2023-09-10,21
水果,干果,五香花生米,8.5,10.25,12.0,斤,2023-09-20,22
水果,干果,五香花生米,8.5,10.25,12.0,斤,2023-09-30,23
水果,干果,五香花生米,8.5,10.25,12.0,斤,2023-10-10,24
水果,干果,五香花生米,7.5,9.75,12.0,斤,2023-10-20,25
水果,干果,五香花生米,7.5,9.75,12.0,斤,2023-10-31,26
水果,干果,五香花生米,7.5,9.75,12.0,斤,2023-11-10,27
水果,干果,五香花生米,7.5,9.75,12.0,斤,2023-11-20,28
水果,干果,五香花生米,7.5,9.75,12.0,斤,2023-11-30,29
水果,干果,五香花生米,7.5,9.75,12.0,斤,2023-12-10,30
水果,干果,五香花生米,7.5,9.75,12.0,斤,2023-12-20,31
水果,干果,五香花生米,7.5,9.75,12.0,斤,2023-12-31,32
,,,,10.456912878787877,,,,33
,,,,10.492257130124775,,,,34
,,,,10.527601381461674,,,,35
,,,,10.562945632798572,,,,36
,,,,10.598289884135472,,,,37
,,,,10.63363413547237,,,,38
,,,,10.668978386809268,,,,39
