一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
蔬菜,特菜,凉瓜,13.0,13.5,14.0,斤,2023-01-10,0
蔬菜,特菜,凉瓜,14.0,14.5,15.0,斤,2023-01-31,1
蔬菜,特菜,凉瓜,13.0,13.5,14.0,斤,2023-02-20,2
蔬菜,特菜,凉瓜,14.0,14.5,15.0,斤,2023-02-28,3
蔬菜,特菜,凉瓜,12.0,12.25,12.5,斤,2023-03-10,4
蔬菜,特菜,凉瓜,12.0,12.25,12.5,斤,2023-03-20,5
蔬菜,特菜,凉瓜,10.0,10.5,11.0,斤,2023-03-31,6
蔬菜,特菜,凉瓜,10.0,10.5,11.0,斤,2023-04-10,7
蔬菜,特菜,凉瓜,10.0,10.5,11.0,斤,2023-04-30,8
蔬菜,特菜,凉瓜,9.0,9.5,10.0,斤,2023-05-10,9
蔬菜,特菜,凉瓜,9.0,9.5,10.0,斤,2023-05-20,10
蔬菜,特菜,凉瓜,8.0,8.5,9.0,斤,2023-05-31,11
蔬菜,特菜,凉瓜,8.0,8.5,9.0,斤,2023-06-10,12
蔬菜,特菜,凉瓜,8.0,8.5,9.0,斤,2023-06-20,13
蔬菜,特菜,凉瓜,7.0,7.5,8.0,斤,2023-06-30,14
蔬菜,特菜,凉瓜,7.0,7.5,8.0,斤,2023-07-10,15
蔬菜,特菜,凉瓜,6.0,6.5,7.0,斤,2023-07-20,16
蔬菜,特菜,凉瓜,6.0,6.5,7.0,斤,2023-07-31,17
蔬菜,特菜,凉瓜,5.0,5.5,6.0,斤,2023-08-10,18
蔬菜,特菜,凉瓜,6.0,6.25,6.5,斤,2023-08-20,19
蔬菜,特菜,凉瓜,6.0,6.25,6.5,斤,2023-08-31,20
蔬菜,特菜,凉瓜,6.0,6.25,6.5,斤,2023-09-10,21
蔬菜,特菜,凉瓜,6.0,6.25,6.5,斤,2023-09-20,22
蔬菜,特菜,凉瓜,7.0,7.25,7.5,斤,2023-09-30,23
蔬菜,特菜,凉瓜,7.0,7.25,7.5,斤,2023-10-10,24
蔬菜,特菜,凉瓜,7.0,7.25,7.5,斤,2023-10-20,25
蔬菜,特菜,凉瓜,8.0,8.25,8.5,斤,2023-10-31,26
蔬菜,特菜,凉瓜,8.0,8.25,8.5,斤,2023-11-10,27
蔬菜,特菜,凉瓜,8.0,8.5,9.0,斤,2023-11-20,28
蔬菜,特菜,凉瓜,8.0,8.5,9.0,斤,2023-11-30,29
蔬菜,特菜,凉瓜,9.0,9.5,10.0,斤,2023-12-10,30
蔬菜,特菜,凉瓜,9.0,9.5,10.0,斤,2023-12-20,31
蔬菜,特菜,凉瓜,9.0,9.5,10.0,斤,2023-12-31,32
,,,,6.172348484848484,,,,33
,,,,6.002896613190731,,,,34
,,,,5.833444741532977,,,,35
,,,,5.663992869875223,,,,36
,,,,5.494540998217468,,,,37
,,,,5.325089126559715,,,,38
,,,,5.155637254901961,,,,39
