一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
肉禽蛋,猪肉类,后肘,6.0,6.5,7.0,斤,2024-01-01,0
肉禽蛋,猪肉类,后肘,6.0,6.5,7.0,斤,2023-12-31,1
肉禽蛋,猪肉类,后肘,6.0,6.5,7.0,斤,2023-12-30,2
肉禽蛋,猪肉类,后肘,6.0,6.5,7.0,斤,2023-12-29,3
肉禽蛋,猪肉类,后肘,6.2,6.6,7.0,斤,2023-12-28,4
肉禽蛋,猪肉类,后肘,6.2,6.6,7.0,斤,2023-12-27,5
肉禽蛋,猪肉类,后肘,6.2,6.6,7.0,斤,2023-12-26,6
肉禽蛋,猪肉类,后肘,6.2,6.6,7.0,斤,2023-12-25,7
肉禽蛋,猪肉类,后肘,6.3,6.9,7.5,斤,2023-12-24,8
肉禽蛋,猪肉类,后肘,6.3,6.9,7.5,斤,2023-12-23,9
肉禽蛋,猪肉类,后肘,6.3,6.9,7.5,斤,2023-12-22,10
肉禽蛋,猪肉类,后肘,6.3,6.9,7.5,斤,2023-12-21,11
肉禽蛋,猪肉类,后肘,6.3,6.9,7.5,斤,2023-12-20,12
肉禽蛋,猪肉类,后肘,6.0,6.75,7.5,斤,2023-12-19,13
肉禽蛋,猪肉类,后肘,6.0,6.75,7.5,斤,2023-12-18,14
肉禽蛋,猪肉类,后肘,6.0,6.75,7.5,斤,2023-12-17,15
肉禽蛋,猪肉类,后肘,6.0,6.75,7.5,斤,2023-12-16,16
肉禽蛋,猪肉类,后肘,6.0,6.75,7.5,斤,2023-12-15,17
肉禽蛋,猪肉类,后肘,6.0,6.75,7.5,斤,2023-12-14,18
肉禽蛋,猪肉类,后肘,6.0,6.75,7.5,斤,2023-12-13,19
肉禽蛋,猪肉类,后肘,6.5,7.0,7.5,斤,2023-12-12,20
肉禽蛋,猪肉类,后肘,6.5,7.0,7.5,斤,2023-12-11,21
肉禽蛋,猪肉类,后肘,6.5,7.0,7.5,斤,2023-12-10,22
肉禽蛋,猪肉类,后肘,6.5,7.0,7.5,斤,2023-12-09,23
肉禽蛋,猪肉类,后肘,6.5,7.0,7.5,斤,2023-12-08,24
肉禽蛋,猪肉类,后肘,6.5,7.0,7.5,斤,2023-12-07,25
肉禽蛋,猪肉类,后肘,6.5,7.0,7.5,斤,2023-12-06,26
肉禽蛋,猪肉类,后肘,6.8,7.15,7.5,斤,2023-12-05,27
肉禽蛋,猪肉类,后肘,6.8,7.15,7.5,斤,2023-12-04,28
肉禽蛋,猪肉类,后肘,6.8,7.15,7.5,斤,2023-12-03,29
肉禽蛋,猪肉类,后肘,6.8,7.15,7.5,斤,2023-12-02,30
肉禽蛋,猪肉类,后肘,6.8,7.15,7.5,斤,2023-12-01,31
肉禽蛋,猪肉类,后肘,6.8,7.15,7.5,斤,2023-11-30,32
肉禽蛋,猪肉类,后肘,6.8,7.15,7.5,斤,2023-11-29,33
肉禽蛋,猪肉类,后肘,6.8,7.15,7.5,斤,2023-11-28,34
肉禽蛋,猪肉类,后肘,7.0,7.25,7.5,斤,2023-11-27,35
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-26,36
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-25,37
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-24,38
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-23,39
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-22,40
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-21,41
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-20,42
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-19,43
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-18,44
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-17,45
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-16,46
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-15,47
肉禽蛋,猪肉类,后肘,7.2,7.35,7.5,斤,2023-11-14,48
肉禽蛋,猪肉类,后肘,7.0,7.25,7.5,斤,2023-11-13,49
肉禽蛋,猪肉类,后肘,7.0,7.25,7.5,斤,2023-11-12,50
肉禽蛋,猪肉类,后肘,7.0,7.25,7.5,斤,2023-11-11,51
肉禽蛋,猪肉类,后肘,7.0,7.25,7.5,斤,2023-11-10,52
肉禽蛋,猪肉类,后肘,7.0,7.25,7.5,斤,2023-11-09,53
,,,,7.462942339908933,,,,54
,,,,7.4827191927242875,,,,55
,,,,7.502496045539642,,,,56
,,,,7.522272898354997,,,,57
,,,,7.542049751170351,,,,58
,,,,7.561826603985705,,,,59
,,,,7.5816034568010595,,,,60
