一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
蔬菜,特菜,沙葁,12.0,12.5,13.0,斤,2023-12-31
蔬菜,特菜,沙葁,12.0,12.5,13.0,斤,2023-12-20
蔬菜,特菜,沙葁,12.0,12.5,13.0,斤,2023-12-10
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-11-30
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-11-20
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-11-10
蔬菜,特菜,沙葁,12.0,12.5,13.0,斤,2023-10-31
蔬菜,特菜,沙葁,12.0,12.5,13.0,斤,2023-10-20
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-10-10
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-10-10
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-09-30
蔬菜,特菜,沙葁,11.0,11.5,12.0,斤,2023-09-20
蔬菜,特菜,沙葁,11.0,11.5,12.0,斤,2023-09-10
蔬菜,特菜,沙葁,11.0,11.5,12.0,斤,2023-08-31
蔬菜,特菜,沙葁,11.0,11.5,12.0,斤,2023-08-20
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-08-10
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-07-31
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-07-20
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-07-10
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-06-30
蔬菜,特菜,沙葁,9.0,9.5,10.0,斤,2023-06-20
蔬菜,特菜,沙葁,9.0,9.5,10.0,斤,2023-06-10
蔬菜,特菜,沙葁,8.0,8.5,9.0,斤,2023-05-31
蔬菜,特菜,沙葁,8.0,8.5,9.0,斤,2023-05-20
蔬菜,特菜,沙葁,8.0,8.5,9.0,斤,2023-05-10
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-04-30
蔬菜,特菜,沙葁,7.0,7.25,7.5,斤,2023-04-10
蔬菜,特菜,沙葁,8.0,8.5,9.0,斤,2023-03-31
蔬菜,特菜,沙葁,9.0,9.5,10.0,斤,2023-03-20
蔬菜,特菜,沙葁,9.0,9.5,10.0,斤,2023-03-10
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-02-28
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-02-20
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-01-31
蔬菜,特菜,沙葁,10.0,10.5,11.0,斤,2023-01-10
