一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,无籽红提,15.5,16.0,16.5,斤,2023-08-10,0
水果,进口果,无籽红提,15.5,16.0,16.5,斤,2023-07-31,1
水果,进口果,无籽红提,15.5,16.0,16.5,斤,2023-07-20,2
水果,进口果,无籽红提,15.5,17.75,20.0,斤,2023-07-10,3
水果,进口果,无籽红提,15.5,17.75,20.0,斤,2023-06-30,4
水果,进口果,无籽红提,15.5,17.75,20.0,斤,2023-06-20,5
水果,进口果,无籽红提,8.5,9.25,10.0,斤,2023-06-10,6
水果,进口果,无籽红提,13.0,14.5,16.0,斤,2023-06-10,7
水果,进口果,无籽红提,8.5,9.25,10.0,斤,2023-05-31,8
水果,进口果,无籽红提,14.0,16.5,19.0,斤,2023-05-31,9
水果,进口果,无籽红提,9.5,9.75,10.0,斤,2023-05-20,10
水果,进口果,无籽红提,14.0,16.5,19.0,斤,2023-05-20,11
水果,进口果,无籽红提,9.5,9.75,10.0,斤,2023-05-10,12
水果,进口果,无籽红提,12.0,14.0,16.0,斤,2023-05-10,13
水果,进口果,无籽红提,9.5,9.75,10.0,斤,2023-04-30,14
水果,进口果,无籽红提,20.0,21.5,23.0,斤,2023-04-30,15
水果,进口果,无籽红提,9.5,9.75,10.0,斤,2023-04-10,16
水果,进口果,无籽红提,20.0,21.5,23.0,斤,2023-04-10,17
水果,进口果,无籽红提,12.0,14.5,17.0,斤,2023-03-31,18
水果,进口果,无籽红提,12.0,14.5,17.0,斤,2023-03-20,19
水果,进口果,无籽红提,16.0,18.0,20.0,斤,2023-03-10,20
水果,进口果,无籽红提,16.0,18.0,20.0,斤,2023-02-28,21
水果,进口果,无籽红提,17.0,18.0,19.0,斤,2023-02-20,22
,,,,12.977500000000001,,,,23
,,,,12.798382352941177,,,,24
,,,,12.619264705882353,,,,25
,,,,12.44014705882353,,,,26
,,,,12.261029411764707,,,,27
,,,,12.081911764705882,,,,28
,,,,11.902794117647058,,,,29
